,Cores,Bandwidth,L1 Cache (KB),L2 Cache (MB),Core Base Clock Speeds,FP32 (float) Performance,Scores
GeForce RTX 2080 SUPER,3072,495.9,64,4,1650,11.15,25514
TITAN Xp CE,3840,547.6,48,3,1405,12.15,20103
GeForce GTX TITAN X,3072,336.6,48,3,1000,6.691,13718
Tesla K40c,2880,288.4,16,1.1,745,5.046,6136
Tesla V100,5120,897,128,6,1230,14.13,32774
TITAN RTX,4608,672,64,6,1350,16.31,30453
GeForce GTX 1080 Ti,3584,484,48,2.3,1480,11.3,20425
GeForce RTX 2070,2304,448,64,4,1410,7.465,18885
GeForce RTX 2060,1920,336,63,3,1365,6.451,15047
GeForce RTX 2080 Ti,4352,616,64,5.5,1350,13.45,30471
Quadro RTX 6000,4608,672,64,6,1440,16.31,29570
GeForce RTX 2070 SUPER,2560,448,64,4,1605,9.062,21210
Tesla P40,3840,480.4,48,3,1303,11.76,18006
Quadro RTX 4000,2304,416,64,4,1005,7.119,17601
GeForce GTX 1080,2560,320.3,48,2,1607,8.873,16770
GeForce RTX 2070 Max-Q,2304,384,64,4,885,5.46,14991
GeForce GTX 1070,1920,256.3,48,2,1506,6.463,14536
Tesla T4,2560,320,64,4,585,8.141,13529
GeForce GTX 1060,1280,192.2,48,1.2,1506,4.375,10780
GeForce GTX 960,1024,112.2,48,1,1127,2.413,6129
TITAN X Pascal,3584,480.4,48,3,1417,10.97,20544
GeForce GTX 1660 Ti,1536,288,64,1.2,1500,5.437,13959
GeForce RTX 2080,2944,448,64,4,1515,10.07,22434
Quadro P2000,1024,140.2,48,1.1,1076,3.031,6096
