,MobileNet-V2-inf,MobileNet-V2-train,Inception-V3-inf,Inception-V3-train,Inception-V4-inf,Inception-V4-train,"	Inc-ResNet-V2-inf","	Inc-ResNet-V2-train",ResNet-V2-50-inf,ResNet-V2-50-train,ResNet-V2-152-inf,ResNet-V2-152-train,VGG-16-inf,VGG-16-train,SRCNN 9-5-5-inf,SRCNN 9-5-5-train,VGG-19 Super-Res-inf,VGG-19 Super-Res-train,ResNet-SRGAN-inf,ResNet-SRGAN-train,ResNet-DPED-inf,ResNet-DPED-train,U-Net-inf,U-Net-train,Nvidia-SPADE-inf,Nvidia-SPADE-train,ICNet-inf,ICNet-train,PSPNet-inf,PSPNet-train,DeepLab-inf,DeepLab-train,Pixel-RNN-inf,Pixel-RNN-train,LSTM-inf,LSTM-train,GNMT-inf,SCORE,,,,
Batch Size,50,50,20,20,10,10,10,8,10,10,10,10,20,3,10,10,10,10,10,5,10,15,4,4,5,1,5,10,5,1,2,1,50,10,100,10,1,,,,,
Input Size,224,224,346,346,346,346,346,346,346,346,256,256,224,224,512,512,256,224,512,512,256,128,512,256,128,128,1024,1024,720,512,512,384,64,64,1024,1024,20,,,,,
Intel Core i7-6700K,820,3486,1942,7009,1893,6736,2198,6091,1320,5081,1807,7372,3438,2220,4006,15230,6939,17254,5652,7990,7280,9319,11291,9662,4533,3712,2608,6214,19817,6680,4698,4398,5805,2832,7748,12601,1641,790,,,,
GeForce RTX 2080 SUPER,33,210,55,211,54,226,70,246,38,132,49,205,96,163,75,227,110,307,103,158,124,202,218,236,97,168,101,259,407,171,114,148,291,665,386,766,170,25514,,,,
TITAN Xp CE,47,345,70,313,65,322,82,351,45,213,55,292,101,170,87,267,98,242,119,162,132,181,212,220,100,176,267,932,426,258,112,238,843,1944,818,848,183,20103,,,,
GeForce GTX TITAN X,73,496,98,418,99,439,130,470,67,253,88,367,168,263,168,435,161,419,192,269,244,314,397,384,185,280,264,817,743,344,208,340,857,1641,856,1011,212,13718,,,,
Tesla K40c,106,621,263,903,259,954,323,1037,163,520,231,844,350,461,401,1018,613,1228,526,753,584,613,1140,965,474,600,447,1189,2167,721,495,636,1272,2154,1470,2478,311,6136,,,,
Tesla V100,53,126,49,163,44,181,57,199,27,89,35,147,54,78,64,188,61,168,66,105,69,107,123,125,66,101,182,616,264,113,75,107,551,1646,543,690,188,32774,,,,
TITAN RTX,35,185,47,166,46,178,58,191,32,104,43,161,70,120,63,176,82,239,85,123,88,155,157,183,72,113,113,329,296,125,86,108,492,1164,472,726,143,30453,,,,
GeForce GTX 1080 Ti,57,268,87,273,79,289,88,328,51,175,67,269,111,191,98,252,112,268,112,169,131,193,217,235,109,198,189,587,472,208,123,188,666,1711,561,728,200,20425,,,,
GeForce RTX 2070,56,245,91,272,76,282,96,303,56,171,69,264,115,172,118,319,140,351,143,199,148,228,264,270,121,192,172,461,516,215,143,177,784,1596,867,981,214,18885,,,,
GeForce RTX 2060,61,290,100,349,94,367,119,396,65,216,86,327,156,240,137,448,191,541,176,269,197,319,366,370,163,267,176,498,733,282,196,236,572,1179,880,1230,262,15047,,,,
GeForce RTX 2080 Ti,37,177,55,161,48,168,60,187,36,101,45,158,74,120,70,181,81,232,91,127,89,153,155,178,72,118,113,316,291,119,84,108,405,850,512,822,129,30471,,,,
Quadro RTX 6000,33,202,49,182,49,194,64,206,35,113,45,172,75,123,68,193,88,253,89,135,103,173,174,201,82,122,103,254,332,130,94,111,270,720,420,750,126,29570,,,,
GeForce RTX 2070 SUPER,47,231,71,245,68,259,88,283,47,148,59,225,109,174,95,286,125,331,124,182,137,219,244,263,108,178,141,404,466,191,130,162,525,984,629,976,211,21210,,,,
Tesla P40,97,356,79,338,79,363,100,400,54,208,68,332,108,183,133,286,110,285,119,190,147,234,239,280,120,212,268,920,523,243,141,229,653,1648,626,813,171,18006,,,,
Quadro RTX 4000,63,250,92,294,83,308,106,329,58,177,75,273,125,183,121,355,154,387,152,216,158,240,292,297,132,205,171,492,588,236,160,193,660,1325,734,1123,338,17601,,,,
GeForce GTX 1080,60,323,87,339,89,361,115,386,60,222,76,312,158,299,118,330,164,387,148,227,189,281,320,339,148,280,170,478,646,273,173,224,473,1229,549,813,210,16770,,,,
GeForce RTX 2070 Max-Q,62,305,103,358,98,384,123,399,64,211,88,323,156,247,138,418,192,482,176,252,189,280,364,352,163,256,184,520,759,291,198,235,717,1331,823,1311,279,14991,,,,
GeForce GTX 1070,71,368,102,391,104,415,132,440,71,249,98,362,159,264,141,396,171,431,171,268,219,342,393,409,182,312,206,639,845,322,220,267,498,1069,622,898,197,14536,,,,
Tesla T4,71,345,107,392,107,418,141,437,71,236,92,338,161,236,164,486,213,551,216,289,222,356,432,416,185,268,197,542,890,305,224,251,863,1855,699,1185,254,13529,,,,
GeForce GTX 1060,88,452,141,523,143,562,184,573,98,331,129,470,231,372,215,584,247,627,262,384,329,470,571,557,259,427,250,658,1128,430,297,355,599,1171,838,1194,257,10780,,,,
GeForce GTX 960,140,906,248,963,241,984,314,1023,175,610,231,922,405,624,369,1011,491,1099,423,674,595,859,1109,1052,467,744,483,1242,2049,784,543,614,932,1352,1163,2051,430,6129,,,,
TITAN X Pascal,46,255,82,278,69,277,91,313,56,175,64,248,111,187,88,255,108,281,113,179,156,219,238,259,123,201,183,535,489,212,138,176,545,1420,464,704,195,20544,,,,
GeForce GTX 1660 Ti,96,219,142,390,138,407,161,380,89,225,117,329,125,77,151,481,253,678,227,336,311,326,484,390,181,297,191,490,886,287,242,226,608,1141,825,1364,238,13959,,,,
GeForce RTX 2080,44,218,62,225,62,241,78,264,42,137,54,217,100,167,84,258,115,306,112,163,127,207,221,244,97,167,155,443,425,173,118,152,775,1571,531,838,195,22434,,,,
Quadro P2000,154,771,249,971,258,1034,329,1062,179,622,244,898,441,741,285,969,477,1212,451,695,522,870,1038,1045,509,849,443,1113,2079,806,563,645,898,962,1387,2050,486,6096,,,,
